,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
0,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-01,142,Unhealthy for Sensitive Groups,PM2.5,06-037-1302,20
1,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-02,66,Moderate,PM2.5,06-037-1002,19
2,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-03,75,Moderate,PM2.5,06-037-4002,19
3,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-04,65,Moderate,PM2.5,06-037-4002,20
4,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-05,89,Moderate,PM2.5,06-037-4004,19
5,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-06,71,Moderate,PM2.5,06-037-4002,19
6,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-07,58,Moderate,PM2.5,06-037-1103,20
7,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-08,73,Moderate,PM2.5,06-037-1103,19
8,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-09,84,Moderate,PM2.5,06-037-1103,19
9,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-10,51,Moderate,PM2.5,06-037-1103,20
10,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-11,38,Good,Ozone,06-037-6012,19
11,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-12,59,Moderate,PM2.5,06-037-4002,19
12,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-13,77,Moderate,PM2.5,06-037-4002,20
13,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-14,54,Moderate,PM2.5,06-037-1103,19
14,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-15,61,Moderate,PM2.5,06-037-4002,19
15,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-16,76,Moderate,PM2.5,06-037-1302,20
16,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-17,69,Moderate,NO2,06-037-4006,19
17,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-18,58,Moderate,NO2,06-037-4006,19
18,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-19,59,Moderate,PM2.5,06-037-4004,20
19,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-20,48,Good,NO2,06-037-5005,19
20,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-21,76,Moderate,NO2,06-037-4006,19
21,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-22,76,Moderate,NO2,06-037-4006,20
22,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-23,76,Moderate,NO2,06-037-4006,18
23,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-24,54,Moderate,PM2.5,06-037-1103,19
24,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-25,57,Moderate,PM2.5,06-037-1103,20
25,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-26,59,Moderate,PM2.5,06-037-1103,19
26,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-27,55,Moderate,PM2.5,06-037-1002,19
27,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-28,39,Good,Ozone,06-037-6012,20
28,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-29,54,Moderate,PM2.5,06-037-1103,19
29,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-30,73,Moderate,PM2.5,06-037-4002,19
30,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-01-31,71,Moderate,PM2.5,06-037-4004,20
31,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-01,67,Moderate,PM2.5,06-037-4002,19
32,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-02,76,Moderate,PM2.5,06-037-4004,19
33,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-03,54,Moderate,PM2.5,06-059-0007,20
34,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-04,88,Moderate,PM2.5,06-037-1103,18
35,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-05,149,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,18
36,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-06,108,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,19
37,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-07,94,Moderate,PM2.5,06-037-1103,19
38,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-08,44,Good,Ozone,06-037-5005,19
39,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-09,62,Moderate,PM2.5,06-037-4002,20
40,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-10,59,Moderate,PM2.5,06-037-1103,19
41,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-11,60,Moderate,PM2.5,06-037-1103,19
42,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-12,57,Moderate,PM2.5,06-037-1103,20
43,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-13,74,Moderate,PM2.5,06-037-1103,19
44,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-14,86,Moderate,PM2.5,06-037-4002,19
45,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-15,76,Moderate,NO2,06-037-5005,20
46,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-16,49,Good,NO2,06-037-6012,19
47,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-17,59,Moderate,PM2.5,06-037-1103,19
48,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-18,73,Moderate,PM2.5,06-037-1002,20
49,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-19,52,Moderate,PM10,06-037-9033,19
50,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-20,44,Good,Ozone,06-037-6012,19
51,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-21,50,Good,PM2.5,06-037-1103,20
52,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-22,58,Moderate,PM2.5,06-037-4004,19
53,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-23,64,Moderate,PM2.5,06-037-4002,19
54,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-24,56,Moderate,PM2.5,06-037-1103,20
55,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-25,52,Moderate,PM2.5,06-037-1103,19
56,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-26,65,Moderate,PM2.5,06-037-1103,19
57,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-27,63,Moderate,NO2,06-037-4006,20
58,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-02-28,62,Moderate,NO2,06-037-4006,19
59,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-01,64,Moderate,NO2,06-037-4006,19
60,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-02,61,Moderate,Ozone,06-037-6012,20
61,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-03,74,Moderate,PM2.5,06-037-1103,19
62,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-04,71,Moderate,PM2.5,06-037-1103,19
63,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-05,103,Unhealthy for Sensitive Groups,PM2.5,06-037-1002,20
64,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-06,43,Good,PM2.5,06-037-1103,19
65,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-07,43,Good,Ozone,06-037-9033,19
66,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-08,44,Good,Ozone,06-037-9033,20
67,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-09,59,Moderate,PM2.5,06-037-1103,19
68,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-10,62,Moderate,PM2.5,06-037-1103,19
69,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-11,74,Moderate,PM2.5,06-037-1103,20
70,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-12,88,Moderate,PM2.5,06-037-1103,19
71,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-13,139,Unhealthy for Sensitive Groups,PM2.5,06-059-0007,19
72,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-14,97,Moderate,Ozone,06-037-6012,20
73,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-15,132,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,19
74,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-16,122,Unhealthy for Sensitive Groups,PM2.5,06-037-1002,19
75,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-17,97,Moderate,PM2.5,06-037-1002,20
76,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-18,92,Moderate,PM2.5,06-037-1002,19
77,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-19,108,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,19
78,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-20,92,Moderate,PM2.5,06-037-1103,20
79,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-21,64,Moderate,PM2.5,06-037-1103,19
80,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-22,74,Moderate,PM2.5,06-037-1103,19
81,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-23,87,Moderate,Ozone,06-037-9033,20
82,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-24,119,Unhealthy for Sensitive Groups,Ozone,06-037-1701,19
83,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-25,106,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,19
84,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-26,106,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,20
85,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-27,75,Moderate,PM2.5,06-037-1002,19
86,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-28,85,Moderate,PM2.5,06-037-1103,19
87,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-29,92,Moderate,PM2.5,06-037-1103,20
88,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-30,73,Moderate,PM2.5,06-037-1103,19
89,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-03-31,53,Moderate,PM2.5,06-037-1103,19
90,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-01,48,Good,PM2.5,06-037-1103,20
91,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-02,65,Moderate,PM2.5,06-037-1103,19
92,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-03,86,Moderate,PM2.5,06-037-1103,19
93,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-04,93,Moderate,PM2.5,06-037-1103,20
94,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-05,62,Moderate,PM2.5,06-037-1103,19
95,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-06,65,Moderate,PM2.5,06-037-1103,19
96,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-07,67,Moderate,PM2.5,06-037-1103,20
97,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-08,51,Moderate,PM2.5,06-037-4004,19
98,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-09,54,Moderate,Ozone,06-037-9033,19
99,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-10,64,Moderate,Ozone,06-037-6012,20
100,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-11,90,Moderate,Ozone,06-037-9033,19
101,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-12,79,Moderate,PM2.5,06-037-1002,19
102,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-13,87,Moderate,Ozone,06-037-9033,20
103,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-14,51,Moderate,PM2.5,06-037-1002,19
104,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-15,54,Moderate,PM2.5,06-037-1002,19
105,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-16,46,Good,Ozone,06-037-6012,20
106,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-17,50,Good,Ozone,06-037-6012,19
107,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-18,61,Moderate,Ozone,06-059-1003,19
108,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-19,80,Moderate,Ozone,06-037-1201,20
109,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-20,105,Unhealthy for Sensitive Groups,Ozone,06-037-0016,19
110,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-21,154,Unhealthy,Ozone,06-037-6012,19
111,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-22,122,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
112,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-23,74,Moderate,Ozone,06-037-6012,19
113,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-24,87,Moderate,Ozone,06-037-9033,19
114,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-25,74,Moderate,Ozone,06-037-9033,20
115,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-26,93,Moderate,Ozone,06-037-9033,19
116,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-27,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,19
117,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-28,169,Unhealthy,Ozone,06-037-6012,20
118,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-29,133,Unhealthy for Sensitive Groups,Ozone,06-037-9033,19
119,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-04-30,93,Moderate,Ozone,06-037-9033,19
120,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-01,93,Moderate,Ozone,06-037-6012,20
121,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-02,115,Unhealthy for Sensitive Groups,Ozone,06-037-0016,19
122,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-03,169,Unhealthy,Ozone,06-037-6012,19
123,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-04,156,Unhealthy,Ozone,06-037-9033,20
124,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-05,67,Moderate,Ozone,06-037-9033,19
125,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-06,53,Moderate,PM2.5,06-037-1103,19
126,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-07,53,Moderate,PM2.5,06-037-1103,20
127,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-08,58,Moderate,Ozone,06-037-9033,18
128,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-09,67,Moderate,Ozone,06-037-9033,18
129,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-10,84,Moderate,Ozone,06-037-9033,19
130,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-11,140,Unhealthy for Sensitive Groups,Ozone,06-037-0016,18
131,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-12,172,Unhealthy,Ozone,06-037-0016,18
132,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-13,147,Unhealthy for Sensitive Groups,Ozone,06-037-0016,19
133,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-14,100,Moderate,Ozone,06-037-9033,18
134,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-15,87,Moderate,Ozone,06-037-9033,18
135,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-16,76,Moderate,PM2.5,06-037-1103,19
136,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-17,67,Moderate,Ozone,06-037-6012,18
137,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-05-18,97,Moderate,Ozone,06-037-6012,18
